objID,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
587744873716450167,132.81657909,11.99731244,25.70171,24.48109,22.42713,21.72428,21.32891
587745243083571667,132.81661231,11.85368085,24.75312,23.56733,21.41179,19.95832,19.17665
587745541047320966,132.81667996,11.67605749,23.63272,23.53313,22.13996,20.6527,19.61946
587745243083571632,132.81696473,11.78735719,24.85817,20.98851,19.5229,18.14394,17.44686
587745403608564846,132.816972,11.57123841,24.68583,24.55644,23.0687,21.58978,21.34746
587745541047321878,132.81707851,11.63982538,24.19296,23.85478,23.51084,22.42976,21.22073
587745541047321566,132.81719909,11.59711056,23.21963,22.9359,23.2394,22.68148,21.96966
587745243083572213,132.81735103,11.78391399,22.94535,22.35221,21.47681,21.31872,21.07587
587745403608564892,132.81737575,11.57566193,23.49584,24.32654,24.62044,25.17387,20.8961
587745541047321275,132.81747723,11.69889551,23.22507,21.31203,20.28648,19.98134,19.76479
587745541047386204,132.86514466,11.60424946,19.83125,17.93804,17.21443,16.92934,16.82303
587745403608563977,132.86521561,11.59712114,19.36783,18.50689,18.20747,18.09406,18.07923
587744873716450012,132.86522433,11.99618932,22.81764,21.44932,21.11505,20.79177,22.15845
587744873716449476,132.86529864,11.95832109,17.8213,16.15891,15.49356,15.18891,15.06298
587745541047387152,132.86559646,11.75709194,24.27485,22.28317,21.10645,20.4807,20.06511
587745541047387049,132.86561496,11.76084337,22.65482,26.2613,24.65993,24.67226,23.35793
587745243083636980,132.86609884,11.86280827,16.54641,15.01201,14.4015,14.22705,14.07454
587745243083637080,132.86617111,11.92799476,14.82451,13.57341,14.18095,13.71765,12.9823
