z,petroMag_r
0.07520767,16.79279
0.07523602,16.79279
0.0430566,16.66281
0.08585855,16.15105
0.3084793,18.52169
0.3084424,18.52169
0.1470934,17.63957
0.1470783,17.63957
0.1474595,17.80371
0.1476172,17.80371
0.1476992,17.80371
0.1018201,17.50315
0.1018705,17.50315
0.1018244,17.50315
0.1016885,16.48311
0.1016537,16.48311
0.176345,17.31895
0.1415967,17.61253
0.1415833,17.61253
0.3106691,18.65539
0.3105254,18.65539
0.01362438,17.31746
0.01363058,17.31746
0.1684474,17.59632
0.1684219,17.59632
0.02165733,16.53148
0.0216669,16.53148
0.05494113,16.5737
0.05486755,16.5737
0.1469922,17.63957
0.03497544,17.01116
0.1865251,17.7972
0.1865815,17.7972
0.1843184,17.73622
0.1843845,17.73622
0.07398618,14.78815
0.07403126,14.78815
0.1855161,17.4938
0.1854795,17.4938
0.07387052,17.63932
0.0738959,17.63932
0.07245842,16.57528
0.07245345,16.57528
0.07378664,16.92087
0.07370726,16.92087
0.07418936,16.30584
0.07414491,16.30584
0.07398683,17.7473
0.0739776,17.7473
0.06707777,16.93337
0.06705163,16.93337
0.08610909,17.54585
0.1062815,16.702
0.1062353,16.702
0.1086039,17.23338
0.108438,17.23338
0.1084782,17.23338
0.1399324,17.52449
0.1397551,17.52449
0.1397474,17.52449
0.0348924,17.01116
0.03493595,17.01116
0.108707,17.25215
0.1086899,17.25215
0.1086584,17.25215
0.1140024,17.39608
0.114104,17.39608
0.113961,17.39608
0.1095592,17.58318
0.1095176,17.58318
0.1095516,17.58318
0.1101397,17.54403
0.1099775,17.54403
0.1101036,17.54403
0.1123229,16.79559
0.1123341,16.79559
0.1123201,16.79559
0.0786402,17.84316
0.07863096,17.84316
0.07861825,17.84316
0.1060027,16.74716
0.1059338,16.74716
0.1058908,16.74716
0.1107455,17.70057
0.110897,17.70057
0.1108089,17.70057
0.07965034,16.61511
0.07972259,16.61511
0.07962636,16.61511
0.07988136,15.78127
0.07971618,15.78127
0.07976395,15.78127
0.1840571,17.4853
0.1839748,17.4853
0.1839764,17.4853
0.3038721,18.76963
0.3038613,18.76963
0.3031197,18.76963
0.07844464,16.78316
0.07844761,16.78316
0.07830773,16.78316
0.07127705,16.96098
0.07123827,16.96098
0.0712072,16.96098
0.06722055,17.61711
0.06721578,17.61711
0.06722397,17.61711
0.4551531,19.23879
0.4553283,19.23879
0.4549861,19.23879
0.1367514,17.77956
0.1367964,17.77956
0.1367068,17.77956
0.1467285,17.86186
0.146713,17.86186
0.1466974,17.86186
0.05411018,16.3864
0.05405479,16.3864
0.05425873,17.1306
0.05424831,17.1306
0.05420759,17.1306
0.3404298,18.36729
0.340345,18.36729
0.3402572,18.36729
0.06028418,16.84537
0.06031882,16.84537
0.1062999,17.04953
0.1062229,17.04953
0.10636,17.04953
0.110833,17.64102
0.1108935,17.64102
0.110816,17.64102
0.08376557,17.1445
0.08378237,17.1445
0.08376323,17.1445
0.2440962,17.4512
0.2440454,17.4512
0.1638616,17.767
0.1637788,17.767
0.1108878,17.78452
0.1109925,17.78452
0.09817744,16.79651
0.09816772,16.79651
0.2360714,17.75094
0.2359956,17.75094
0.05456623,17.83237
0.05458672,17.83237
0.1714114,17.47474
0.1715203,17.47474
0.170976,17.74822
0.1710394,17.74822
0.07970625,16.41985
0.07976801,16.41985
0.07967445,16.41985
0.0775065,17.58931
0.07752344,17.58931
0.07752987,17.58931
0.2271637,16.92209
0.2272115,16.92209
0.2274826,16.92209
0.07729513,16.61439
