z,Column1,Column2
0.4198143,18.49787,-23.3212862458325
0.4199035,18.49787,-23.3218350484349
0.0435754,17.45806,-18.966180474927
0.04359543,17.45806,-18.9672107418723
0.2087052,17.50272,-22.5609914072199
0.04585976,16.79862,-19.7402519688365
0.04583225,16.79862,-19.7389048653613
0.04341146,16.82606,-19.5897313014515
0.04336923,16.82606,-19.5875495826904
0.0955369,17.43342,-20.7762752630528
0.09554061,17.43342,-20.7763651583495
0.2094322,17.72574,-22.3464566804136
0.2090795,17.72574,-22.3423425589162
0.4584807,19.41076,-22.6369285070829
0.3256443,19.00996,-22.1593265028736
0.4198091,19.06062,-22.7585099920691
0.1100083,16.78783,-21.7496225723959
0.06146668,17.1315,-20.0682227058386
0.08867424,17.04578,-20.9917065537863
0.08504127,17.47063,-20.4705119480207
0.08505789,17.31118,-20.6304083489919
0.08459932,16.68704,-21.2421154733389
0.08885787,16.53763,-21.5046323376551
0.08837859,16.92013,-21.1096650385254
0.09004407,16.34023,-21.7326154133509
0.4044442,18.44761,-23.2752703291486
0.03307227,16.49298,-19.3153062884762
0.08149754,17.73211,-20.111196837797
0.1705464,17.3926,-22.1823120161802
0.07888881,16.5494,-21.2192625794913
0.288476,17.96384,-22.9001791005496
0.2885048,17.96384,-22.9004289164818
0.1097003,17.40795,-21.1229598695946
0.1097687,17.40795,-21.1244132415338
0.1226063,17.5257,-21.2655442385697
0.1226742,17.5257,-21.2668444869689
0.06933434,17.58287,-19.8906991938294
0.0693344,17.58287,-19.8907011532748
0.09412583,17.41767,-20.7576024844589
0.09410038,17.41767,-20.7569770147364
0.4840974,19.45426,-22.7352116095099
0.1924342,17.57808,-22.2882259770951
0.1924806,17.57808,-22.2888112589006
0.2011801,17.73203,-22.2422200356108
0.2011759,17.73203,-22.2421688596479
0.09574983,17.72582,-20.4890265287365
0.09577672,17.72582,-20.489676553435
0.3020089,18.29192,-22.6872118968595
0.3018043,18.29192,-22.6855069151674
0.09566563,16.85485,-21.3579692726914
0.09569675,16.85485,-21.3587222117941
0.4067003,19.80323,-21.9339928118672
0.4067205,19.80323,-21.9341209123892
0.09555007,17.57901,-20.6310043854691
0.09559516,17.57901,-20.6320964817883
0.09596023,17.09114,-21.1287917193387
0.09583122,17.09114,-21.1256769731857
0.187017,18.43649,-21.3606614993142
0.1871196,18.43649,-21.3619889770975
0.08447021,16.41585,-21.5097873109554
0.08452596,16.41585,-21.5113047519936
0.1115125,17.66998,-20.8991645217569
0.1115304,17.66998,-20.8995392312841
0.06953009,17.49199,-19.9880052648439
0.06943934,17.49199,-19.9850281885016
0.08753705,17.63995,-20.3677864083056
0.0874864,17.63995,-20.3664528375935
0.04464067,16.41868,-20.0597193642399
0.04464796,16.41868,-20.0600857050574
0.08819547,17.3272,-20.6978114857411
0.08825807,17.3272,-20.6994470313107
0.1851041,18.23346,-21.538836885178
0.1850447,18.23346,-21.5380609697658
0.09357183,17.25574,-20.905881461207
0.09362166,17.25574,-20.9071126148698
0.09623855,17.68362,-20.5430140246709
0.09620965,17.68362,-20.5423187151451
0.09494463,15.94074,-22.2545647451682
0.09499974,15.94074,-22.2559073534776
0.09546118,17.63997,-20.5678893928294
0.09524325,17.63997,-20.5625996209747
0.0881547,16.43992,-21.5840271234928
