z,mag_r,absmag_r
0.04655848,17.08501,-19.4878192505137
0.02139691,15.7318,-19.1116492775341
0.04578607,16.14692,-20.3883443303894
0.04863385,16.30931,-20.3615446617036
0.02094694,15.71707,-19.0794717007642
0.03220713,15.68182,-20.0674895270555
0.04876426,17.47543,-19.2014536555949
0.0475889,16.94458,-19.6774377063681
0.04565335,14.65171,-21.8770368050472
0.03680692,16.38485,-19.6618596560564
0.03727411,16.51389,-19.5609691696419
0.0371546,16.79236,-19.2753305925323
0.03653407,14.04335,-21.9867573768604
0.03669893,16.88652,-19.15363646279
0.03620402,16.79448,-19.2153858146252
0.02726925,14.94769,-20.4321016146342
0.02502265,15.24002,-19.9493613245796
0.0274709,16.17213,-19.2239960150933
0.03480157,15.602,-20.3197863849864
0.03094283,15.91109,-19.7491791066377
0.02513117,16.04056,-19.1583921752311
0.04770873,17.26653,-19.3611382304798
0.02054176,14.44234,-20.3111141025154
0.02063313,15.46035,-19.3028956983475
0.03552244,16.60285,-19.3646338077393
0.01255482,12.49266,-21.1782649438324
0.0202142,13.84048,-20.8775220448376
0.04823616,15.01116,-21.6412338374518
0.04655245,17.29573,-19.2768062809087
0.04833083,17.10756,-19.5492389296151
0.04735615,14.62844,-21.9825525057519
0.04676383,14.89728,-21.6854298330577
0.04688425,17.07763,-19.5108569985626
0.03454532,15.63215,-20.2731694590942
0.03467124,14.6558,-21.2576318657299
0.04695396,17.21092,-19.3809097038572
0.04755318,17.57894,-19.0413925503825
0.04620481,16.7067,-19.8490003400629
0.04760075,14.72878,-21.8937930558045
0.04713756,16.59153,-20.0090732562076
0.04747811,16.51848,-20.0982932004414
0.03545549,16.45973,-19.503549983397
0.04600773,17.0042,-19.5419068627118
0.04609136,15.28948,-21.2606960005257
0.03312969,16.03469,-19.7774516158954
0.04516219,17.17177,-19.3326980045163
0.03283051,15.00256,-20.7894000707051
0.04565933,17.02534,-19.5036937767982
0.04526348,14.56599,-21.9434977782615
0.04612533,17.50354,-19.048291760059
0.04281429,15.49498,-20.8897665929417
0.03274609,15.59107,-20.1951564127777
0.04256744,15.14902,-21.2227727579755
0.03273103,16.57723,-19.2079782022224
0.03289981,15.22436,-20.5722876000753
0.0464684,15.77097,-20.7975077742052
0.04240929,15.86439,-20.4990614132486
0.04747756,13.6882,-22.9285540792698
0.03307227,16.49298,-19.3153062884762
0.04624894,15.36543,-21.192412931636
0.03294319,15.51362,-20.2859581927483
0.03738691,16.60164,-19.4799650238166
0.04852381,17.57392,-19.0918450211766
0.04619598,15.47874,-21.07653308524
0.0465229,16.52556,-20.045548354954
0.04636251,17.13684,-19.4265170533823
0.04681011,17.57426,-19.0106754833687
0.03412346,16.10445,-19.7735023326598
0.04617104,16.85634,-19.6977154850025
0.04720632,15.55176,-21.0521131242068
0.04646964,16.8547,-19.7138416263695
0.04704995,15.97529,-20.6211267583226
0.04669769,16.88491,-19.6946278769247
0.04660738,16.88145,-19.6937355050588
0.04639048,16.12102,-20.4436892336154
0.04589036,15.26892,-21.2714508067496
0.03502265,15.70938,-20.2265152773768
0.04577184,16.61629,-19.9182671951899
0.04730976,16.75811,-19.8506815851495
0.04483392,15.19553,-21.2925665235469
0.03902926,16.47915,-19.6984835963756
0.03337267,14.17309,-21.6553218076496
0.03252227,14.62452,-21.1464495379425
0.03316718,14.56767,-21.2469959145857
0.04675085,17.18312,-19.3989753808721
0.04612698,16.30737,-20.2445429100569
0.0463249,17.14854,-19.4129870527158
0.0450113,15.73734,-20.7596097429134
0.04001235,16.58538,-19.6478577019334
0.04627055,16.92594,-19.6329535176009
0.03422084,16.66957,-19.2147287802149
0.03264382,13.64627,-22.1329992688142
0.04573169,17.31837,-19.2142244705604
0.03448851,14.65552,-21.2461376384473
0.03252251,16.53224,-19.2387436291365
0.03182067,16.05648,-19.6659769570587
0.04647528,16.20297,-20.3658359988311
0.03256777,16.72487,-19.0492127258345
0.03228859,15.10612,-20.648805071978
0.0332075,16.3303,-19.4870704945716
0.0324094,16.57964,-19.1835955360837
0.03367543,15.4243,-20.424223064498
0.03218562,16.22491,-19.5229134211276
0.04574162,17.17811,-19.3549652205711
0.04581254,15.80411,-20.7324448169578
0.04389971,15.45632,-20.9845394420111
0.0437604,15.65624,-20.77749458011
0.04388665,15.45632,-20.9838722421476
0.04336923,16.82606,-19.5875495826904
0.04341146,16.82606,-19.5897313014515
0.04585976,16.79862,-19.7402519688365
0.04583225,16.79862,-19.7389048653613
0.04379782,15.65624,-20.7794108091927
0.04619696,14.89373,-21.6615861109399
0.04611932,14.89373,-21.6578090760213
0.04635897,15.40478,-21.1583999543827
0.04633629,15.40478,-21.1573013004478
0.0452119,17.488,-19.0189284307659
0.04517603,17.488,-19.0171470084965
0.04645472,16.07381,-20.4940041540822
0.04651895,16.07381,-20.4971076743953
0.04228764,15.00522,-21.3518049213579
0.04227561,15.00522,-21.3511675116007
0.04634656,15.86666,-20.6959193325622
0.04464796,16.41868,-20.0600857050574
0.04464067,16.41868,-20.0597193642399
0.04643209,15.86666,-20.7000599564823
0.04629213,17.51899,-19.0409503656046
0.04628231,17.51899,-19.0404742705995
0.04727709,17.05288,-19.5543620675376
0.04574715,15.60794,-20.9254126623478
0.04725183,17.05288,-19.5531607848773
0.04576403,15.60794,-20.9262408607747
0.04531889,17.0054,-19.506836195229
0.04530115,17.0054,-19.5059576609422
0.02151983,15.38094,-19.475146856171
0.02147727,15.38094,-19.4707768766255
0.04490076,17.00343,-19.4880095095267
0.04478479,17.31895,-19.1666839914632
0.04480134,17.31895,-19.1675130202243
0.04486069,17.00343,-19.4860061402615
0.04727036,15.8047,-20.802225308291
